type,title,cast,country,date_added,release_year,rating,listed_in,id,duration_int,duration_type,score
movie,the grand seduction,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2021-03-30,2014,g,"comedy, drama",as1,113,min,3.47
movie,take care good night,"mahesh manjrekar, abhay mahajan, sachin khedekar",india,2021-03-30,2018,13+,"drama, international",as2,110,min,3.55
movie,secrets of deception,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",united states,2021-03-30,2017,g,"action, drama, suspense",as3,74,min,3.5
movie,pink: staying true,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",united states,2021-03-30,2014,g,documentary,as4,69,min,3.54
movie,monster maker,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",united kingdom,2021-03-30,1989,g,"drama, fantasy",as5,45,min,3.48
movie,living with dinosaurs,"gregory chisholm, juliet stevenson, brian henson, michael maloney",united kingdom,2021-03-30,1989,g,"fantasy, kids",as6,52,min,3.56
movie,hired gun,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",united states,2021-03-30,2017,g,"documentary, special interest",as7,98,min,3.55
movie,grease live!,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",united states,2021-03-30,2016,g,comedy,as8,131,min,3.52
movie,global meltdown,"michael paré, leanne khol young, patrick j. maceachern",canada,2021-03-30,2017,g,"action, science fiction, suspense",as9,87,min,3.5
movie,david's mother,"kirstie alley, sam waterston, stockard channing",united states,2021-04-01,1994,g,drama,as10,92,min,3.44
movie,forest fairies,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",canada,2021-04-04,2016,g,"adventure, kids",as11,88,min,3.61
movie,take care,"leslie bibb, kevin curtis, nadia dajani",united states,2021-04-10,2014,g,comedy,as12,93,min,3.57
movie,the night eats the world,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",france,2021-04-17,2018,g,"horror, suspense",as13,94,min,3.51
movie,resilencia,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",spain,2021-04-24,2020,g,"documentary, sports",as14,46,min,3.57
movie,elon musk: the real life iron man,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",united kingdom,2021-05-02,2018,g,documentary,as15,74,min,3.52
movie,summer '03,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",united states,2021-06-03,2019,g,"comedy, drama",as16,96,min,3.53
movie,zoombies,"marcus anderson, kaiwi lyman, andrew asper",,,2016,13+,"horror, science fiction",as17,87,min,3.5
tv show,zoo babies,narrator - gillian barlett,,,2008,all,"kids, special interest",as18,1,season,3.56
tv show,zoë coombs marr: bossy bottom,zoë coombs marr,,,2020,18+,"comedy, talk show and variety",as19,1,season,3.55
movie,zoe,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",,,2018,r,science fiction,as20,104,min,3.59
tv show,zoboomafoo,,,,2001,tv-y,kids,as21,1,season,3.51
tv show,zo zo zombie: mini-series,"alex cazares, ben diskin, cristina vee, erika ishii",,,2020,tv-y7,"action, anime, comedy",as22,1,season,3.45
movie,zis boom bah,"grace hayes, mary healy",,,1941,nr,"arts, entertainment, and culture, comedy, drama",as23,62,min,3.59
tv show,zerozerozero,"andrea riseborough, harold torres, claudia pineda, tcheky karyo, giuseppe de domenico, gabriel byrne, dane dehaan, adriano chiaramida",italy,,2020,18+,tv shows,as24,1,season,3.52
movie,zandalee,"nicolas cage, judge reinhold, erika anderson, joe pantoliano, viveca lindfors, aaron neville, steve buscemi, ian abercrombie, marisa tomei, jo-el sonnier, newell alexander, blaise delacroix, eliott keener, richard greenberg, john cutler, thomas iain",,,1991,r,drama,as25,94,min,3.55
movie,zambezi: force of life,,,,2005,all,documentary,as26,50,min,3.53
tv show,zahara: the return,"natasha heschélle, curtis morgan, hannah scott, dennis nimoh, christine nguyen",,,2020,16+,tv shows,as27,1,season,3.43
tv show,z: the beginning of everything,"christina ricci  , david hoflin",united states,,2017,18+,"comedy, drama",as28,1,season,3.57
tv show,yu-gi-oh! zexal,"eli jay, marc thompson, sean schemmel, eileen stevens",,,2015,tv-y7,"animation, anime, fantasy",as29,3,season,3.44
tv show,yu-gi-oh! arc-v,"michael liscio jr., emily bauer",,,2018,tv-y7,"action, adventure, animation",as30,3,season,3.55
tv show,yu-gi-oh! 5d's,"gregory abbey, bella hudson, ed paul",,,2011,tv-y7,"anime, kids",as31,2,season,3.53
